,line,name,lat,lng,2022_average_formonth,휠체어리프트여부,엘리베이터여부,운영수량,설치위치
105,4,동대문,37.57142,127.009745,36232,Y,Y,1,8번 출구 5m 지점
106,4,동대문역사문화공원,37.565138,127.007896,15620,N,Y,1,지하1층 역무실 앞 엘리베이터 뒷편
107,4,충무로,37.561243,126.99428,31400,Y,Y,1,유실물센터앞
108,4,명동,37.560989,126.986325,17811,Y,Y,0,
109,4,회현,37.558514,126.978246,32855,N,Y,0,
110,4,숙대입구,37.54456,126.972106,16216,N,Y,1,나 대합실 기둥 옆
111,4,삼각지,37.534777,126.97311,7417,N,Y,1,대합실 화장실 옆 벽면
112,4,신용산,37.52917,126.967894,16489,N,Y,0,
113,4,동작,37.502971,126.979306,2875,N,Y,1,2층대합실 7번기둥(콘센트 있는기둥)
114,4,총신대입구,37.486263,126.981989,26087,N,Y,1,14번출구에서 오른쪽으로 역무실벽
115,4,사당,37.47653,126.981685,19031,Y,Y,1,9번 출입구에서 지하1층으로 내려온 직진 우측 100M
116,4,이촌,37.522272,126.974345,7676,Y,Y,0,
117,5,종로3가,37.571607,126.991806,19304,Y,Y,0,
118,5,둔촌동,37.527788,127.136248,13317,N,Y,1,지하1층 엘리베이터 2호기 뒤쪽
119,5,올림픽공원,37.516078,127.130848,5552,N,Y,1,지하1층 아이센터 옆 5m 지점
120,5,방화,37.577446,126.812741,15371,N,Y,1,지하1층 대합실(게이트 통과후 오른쪽 구역무실 옆 벽면)
121,5,개화산,37.572399,126.806171,12756,N,Y,1,B1 대합실 화장실 옆
122,5,김포공항,37.562434,126.801058,11608,N,Y,0,
123,5,송정,37.561184,126.811973,12191,N,Y,0,
124,5,마곡,37.560183,126.825448,13277,N,Y,0,
125,5,애오개,37.553736,126.95682,9700,N,Y,1,B1층 대합실 아이센터 맞은편 벽면
