역명,호선,문화공간,휠체어리프트,만남의장소,환승주차장,자전거보관소,엘리베이터,기차예매역,무인민원발급기,환전키오스크,수유실,충전기운영수량
남한산성입구,8,N,N,Y,N,Y,Y,N,N,N,Y,1.0
단대오거리,8,N,N,N,N,Y,Y,N,N,N,N,1.0
신흥,8,N,N,N,N,Y,Y,N,N,N,N,1.0
수진,8,N,N,N,N,Y,Y,N,N,N,N,1.0
모란,8,N,Y,N,N,Y,Y,N,N,N,Y,1.0
언주,9,N,N,N,N,N,Y,N,N,N,Y,
선정릉,9,N,N,N,N,N,Y,N,N,N,N,
삼성중앙,9,N,N,N,N,N,Y,N,N,N,Y,
봉은사,9,N,N,N,N,N,Y,N,N,N,Y,
종합운동장,9,N,N,N,N,N,Y,N,N,N,Y,1.0
삼전,9,N,N,N,N,N,Y,N,N,N,Y,2.0
석촌고분,9,N,N,N,N,N,Y,N,N,N,Y,2.0
석촌,9,N,N,N,N,N,Y,N,N,N,Y,2.0
송파나루,9,N,N,N,N,N,Y,N,Y,N,Y,2.0
한성백제,9,N,N,N,N,N,Y,N,N,N,Y,2.0
올림픽공원,9,N,N,N,N,N,Y,N,N,N,Y,1.0
둔촌오륜,9,N,N,N,N,N,Y,N,N,N,Y,
중앙보훈병원,9,N,N,N,N,N,Y,N,N,N,Y,2.0
